transactionid;issuedto;issuedby;date;hour;minute
9b3e4de3-690f-4ad5-9305-513898a3288b;Zeus Berg;21 Rock;1/22/2018;17;34
572e9cc0-cb14-4421-9b5a-135226d4e4b4;Zeus Berg;21 Rock;2/1/2018;8;21
c95ef568-fdc7-4966-9bb2-55100992ef1d;Zeus Berg;21 Rock;12/11/2018;17;51
a3801405-9321-4a5c-9ff3-8287eaf4b6aa;Beau Lara;21 Rock;10/8/2018;17;54
85963471-e4ea-46d6-9bd0-3379a9d29700;Beau Lara;21 Rock;11/16/2018;12;26
2807b703-3529-41d1-8b8b-bbedda53578b;Pandora Knox;21 Rock;1/18/2018;16;18
c238be77-7685-43b1-9c7c-17a7b5233cc2;Pandora Knox;21 Rock;6/2/2018;10;11
57bf9d35-d188-4e1d-8ff1-a13fd793dfe2;Pandora Knox;21 Rock;7/8/2018;17;53
4394accb-6b5a-45a9-aae2-fb22af7e92d0;Pandora Knox;21 Rock;8/25/2018;10;2
e3cfe140-4a56-4873-b99c-6035a648c531;Anne Hinton;21 Rock;3/3/2018;20;4
642a9ebd-1b39-4826-b712-c55537198533;Anne Hinton;21 Rock;4/22/2018;16;35
52e4b284-4432-4f99-8ed6-9f5298aed2b2;Wanda Greer;21 Rock;7/15/2018;16;11
7618d042-95c9-4e07-8b55-45b740018b6e;Wanda Greer;21 Rock;12/8/2018;10;27
f5236318-4f42-4a11-8f63-0d391f71d021;Delilah Bean;21 Rock;6/14/2018;19;14
c108b9a4-cffb-4ee9-bf1a-2544468a6275;Delilah Bean;21 Rock;1/18/2018;10;1
ca91318a-394d-42b9-acd2-2bddf09c1cae;Delilah Bean;21 Rock;3/2/2018;17;44
601db89b-d3ca-46dc-9f74-068bed50d475;Delilah Bean;21 Rock;9/27/2018;19;2
8a8e8ae0-2526-486c-b589-1377905110bf;Delilah Bean;21 Rock;12/4/2018;16;39
9ca395a6-11b4-405c-b2f8-e9badda9816b;Belle Walsh;21 Rock;6/19/2018;7;26
c46eaeb8-7e97-42db-bb43-d746497b6480;Belle Walsh;21 Rock;1/10/2018;11;13
23b4dc4a-763e-4a2f-b713-54a35df7c950;Belle Walsh;21 Rock;8/7/2018;16;47
ae4a94be-3222-4566-b4fb-2b93bb49c80d;Belle Walsh;21 Rock;12/1/2018;21;33
b6df09f5-2f02-4096-af7b-886a421e2e30;Ulric Griffin;21 Rock;10/7/2018;18;44
04415848-bbf9-4d48-b5e7-83088a2457f3;Ulric Griffin;21 Rock;7/12/2018;19;16
3ad7587f-341c-488a-a119-a18df4aaa104;Ulric Griffin;21 Rock;3/12/2018;15;47
363e83b5-a407-4354-a799-6724110113af;Ulric Griffin;21 Rock;1/29/2018;7;27
